technology;lower_bound;upper_bound;source
PV (community, commercial & industrial);81;217;LAZARD LCOE 18.0 (2025)
PV (utility);38;78;LAZARD LCOE 18.0 (2025)
PV (w/storage);50;131;LAZARD LCOE 18.0 (2025)
Geothermal;66;109;LAZARD LCOE 18.0 (2025)
Wind-Onshore;37;86;LAZARD LCOE 18.0 (2025)
Wind-Offshore;70;157;LAZARD LCOE 18.0 (2025)
Wind-Storage-Onshore;44;123;LAZARD LCOE 18.0 (2025)
Gas-Peaking (New Build);149;251;LAZARD LCOE 18.0 (2025)
Nuclear (New Build);141;220;LAZARD LCOE 18.0 (2025)
Coal (New Build);71;173;LAZARD LCOE 18.0 (2025)
Gas-CombinedCycle (NewBuild);48;109;LAZARD LCOE 18.0 (2025)
