name;type;scale;country;region;investment;plant_capacity;learning_factor;construction_time;operating_time;loadfactor_lower;loadfactor_upper;operating_cost_fix;operating_cost_variable;operating_cost_fuel;reference_pj_investment;reference_pj_capacity;year
BWRX-300;BWR;SMR;USA;Western / Developed;2250000;300;0.1;3;60;0.875;0.925;144365;2.3326;6.23;9722604;935;2020
UK-SMR (RR);PWR;SMR;UK;Western / Developed;5215937;443;0.1;4;60;0.875;0.925;518242;2.3326;6.23;8600000;1117;2020
SMR-160;PWR;SMR;USA;Western / Developed;6312500;160;0.1;3;80;0.875;0.925;146645;2.3326;6.23;8600000;1117;2020
SMART;PWR;SMR;South Korea;Western / Developed;8000000;107;0.1;3;60;0.875;0.925;65025;2.3326;5.31;8600000;1117;2020
NuScale;PWR;SMR;USA;Western / Developed;3600000;77;0.1;3;60;0.875;0.925;179595;2.3326;7.15;8600000;1117;2020
RITM-200M;PWR;SMR;Russia;Emerging Asia;4212000;55;0.1;7;40;0.875;0.925;170980;2.3326;6.23;8600000;1117;2020
ACPR-50S;PWR;Micro;China;Emerging Asia;8532000;40;0.1;3;40;0.875;0.925;146645;2.3326;6.23;8600000;1117;2020
KLT-40S;PWR;Micro;Russia;Emerging Asia;13531429;32;0.1;3;40;0.875;0.925;170980;2.3326;6.23;8600000;1117;2020
CAREM;PWR;Micro;Argentina;South America;23187500;25;0.1;4;60;0.875;0.925;146645;2.3326;6.23;8600000;1117;2020
EM2;HTR;SMR;Usa;Western / Developed;4373300;265;0.1;4;60;0.875;0.925;104340;2.3326;19.29;7195125;330;2020
HTR-PM;HTR;SMR;China;Emerging Asia;3270000;200;0.1;5;60;0.875;0.925;168920;2.3326;13.96;7195125;330;2020
PBMR-400;HTR;SMR;South Africa;Middle East / Africa;1734300;165;0.1;4;40;0.875;0.925;136630;2.3326;8.63;7195125;330;2020
ARC-100;SFR;SMR;Canada;Western / Developed;5050000;100;0.1;3;60;0.875;0.925;130750;2.3326;78.04;5200000;1250;2020
CEFR;SFR;Micro;China;Emerging Asia;19350000;20;0.1;3;30;0.875;0.925;130750;2.3326;113.05;5200000;1250;2020
4S;SFR;Micro;Japan;Western / Developed;6900000;10;0.1;3;30;0.875;0.925;130750;2.3326;23.86;5200000;1250;2020
Clinton-1;BWR;Large;USA;Western / Developed;9723000;935;0.1;5;40;0.875;0.925;100000;2.3326;20.0;9722604;935;1987
Hope Creek;BWR;Large;USA;Western / Developed;10608000;1053;0.1;5;40;0.875;0.925;100000;2.3326;20.0;9722604;935;1986
Riverbend-1;BWR;Large;USA;Western / Developed;8974000;919;0.1;6;40;0.875;0.925;100000;2.3326;20.0;9722604;935;1985
Olkiluoto-3-wealer;PWR;Large;Finland;Western / Developed;7983000;1600;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2022
Olkiluoto-3-oecd;PWR;Large;Finland;Western / Developed;5733000;1630;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2022
Flamanville-3-wealer;PWR;Large;France;Western / Developed;9270000;1600;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2024
Flamanville-3-oecd;PWR;Large;France;Western / Developed;8620000;1600;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2024
Hinkley Point C-1;PWR;Large;UK;Western / Developed;8549000;1630;0.1;7;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2025
Hinkley Point C-2;PWR;Large;UK;Western / Developed;8549000;1630;0.1;7;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2025
Vogtle-3-wealer;PWR;Large;USA;Western / Developed;11330000;1117;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2023
Vogtle-4-wealer;PWR;Large;USA;Western / Developed;11330000;1117;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2024
Vogtle-3-oecd;PWR;Large;USA;Western / Developed;8600000;1117;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2023
Vogtle-4-oecd;PWR;Large;USA;Western / Developed;8600000;1117;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2024
Shin Kori-3|Saeul-1;PWR;Large;South Korea;Western / Developed;2410000;1340;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2016
Shin Kori-4|Saeul-2;PWR;Large;South Korea;Western / Developed;2410000;1340;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2019
Sanmen-1;PWR;Large;China;Emerging Asia;3154000;1000;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2018
Sanmen-2;PWR;Large;China;Emerging Asia;3154000;1000;0.1;5;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2018
Taishan-1;PWR;Large;China;Emerging Asia;3222000;1660;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2018
Taishan-2;PWR;Large;China;Emerging Asia;3222000;1660;0.1;4;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2019
Novovoronezh II-1;PWR;Large;Russia;Emerging Asia;2244000;1144;0.1;6;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2016
Novovoronezh II-2;PWR;Large;Russia;Emerging Asia;2244000;1144;0.1;7;60;0.875;0.925;100000;2.3326;20.0;8600000;1117;2019
Fort St. Vrain-doe/eia;HTR;SMR;USA;Western / Developed;7195000;200;0.1;6;40;0.875;0.925;100000;2.3326;20.0;7195125;330;1976
Fort St. Vrain;HTR;SMR;USA;Western / Developed;8108000;200;0.1;6;40;0.875;0.925;100000;2.3326;20.0;7195125;330;1976
Peach Bottom-1;HTR;Micro;USA;Western / Developed;1197000;46;0.1;6;40;0.875;0.925;100000;2.3326;20.0;7195125;330;1967
Beloyarsk-4;SFR;Large;Russia;Emerging Asia;2501000;885;0.1;8;60;0.875;0.925;100000;2.3326;20.0;5200000;1250;2015
Superphenix;SFR;Large;France;Western / Developed;6145000;1250;0.1;7;40;0.875;0.925;100000;2.3326;20.0;5200000;1250;1986
