variable,mean,std,min,q25,median,q75,max
BWRX-300,44.82953169625338,4.788580402561006,36.79370419428943,40.70306301882066,44.485171859793695,48.68772027339156,56.4240931615745
UK-SMR (RR),119.35929962554272,11.978727544446922,99.16913456509438,108.89399595514838,118.7436407247003,129.1271578408789,148.52561199924924
SMR-160,70.98421158988411,12.152551584804076,50.440768506203945,60.41271024666282,70.4573624357584,80.77915520176059,99.83819954240927
SMART,68.14565613579137,13.843798136064908,44.4737272951262,56.074481049635956,67.44314725938703,79.4000601615037,101.29798251762607
NuScale,54.23993004618839,5.801389493755999,44.3192147490873,49.248624105518275,53.883809418029244,58.94097941174216,68.32082208001317
RITM-200M,55.46313402983046,6.0300717248424744,45.243975236806634,50.21642951366742,55.0468987173197,60.23881193279214,70.63336897484501
ACPR-50S,74.95133360159238,11.54095178240897,55.798951185954714,64.69281420227604,74.16971970556949,84.10398783352386,103.85549422041977
KLT-40S,103.06100797632757,17.431898117259355,73.69322708803452,87.94108799069797,101.58620915914247,117.15509542605382,145.96298179802062
CAREM,139.72727012692954,30.144428331403883,89.2648349612159,113.49283206451317,137.85394875456734,164.28143186579553,211.92784461425785
EM2,68.80669020101564,9.03894614140777,53.605979898616276,60.992995506731226,68.21603836702477,76.09875397516305,90.86626022394954
HTR-PM,61.9247069840487,6.489967431954584,50.960122132809275,56.25497830234852,61.542339842153666,67.16071282691007,77.49390408898435
ARC-100,129.4121196039978,8.677538735493972,114.75737221335442,121.87825898403875,128.8725305982431,136.54296596506626,150.3139867961818
CEFR,233.7904038595112,21.571529772291285,196.75352113532082,215.07429657155626,232.23177824832464,251.09806472286556,287.723924495728
4S,74.25445341637773,6.685308605642623,62.85027142905987,68.46759388815148,73.69569679216622,79.55506216106576,91.24626209872113
IMSR (300),63.87182285454848,7.928997413485568,50.44210299175556,56.868752561255405,63.36685219112675,70.36040658485734,83.1450697285213
SSR-W,64.07283165213582,4.1781199167823875,57.00171505276013,60.42999310257807,63.86067178927745,67.48842509420403,74.10515417828047
