variable,mean,std,min,q25,median,q75,max
BWRX-300,212.62275347240828,60.722923226922184,104.07055390521228,165.72009311933522,204.0738983533621,250.89203822267223,430.0971578608566
UK-SMR (RR),220.80987206530756,45.118235937522876,138.81447551294102,184.86064055287977,216.13594564761388,251.07404907401065,378.84241413761
SMR-160,277.7418143331766,105.8989610231682,104.58247924236177,198.8799344598138,255.9239401193519,336.3501695689546,707.6306711038469
SMART,334.78862971305915,151.24608902242286,109.6551592326967,220.61644383495377,298.83426255199186,417.2916204434478,927.1129491410578
NuScale,416.86823062617805,198.45502137448275,133.2201361228495,266.48524698002734,367.9969107625092,526.4539943384586,1255.913223224748
RITM-200M,524.7873032869719,270.28481439729416,157.65244772910154,315.6050483058805,451.0709742097239,677.6620868761104,1662.7997712338313
ACPR-50S,623.1280448154725,358.75886389719614,160.1334641878981,345.1713635146426,514.2926125555324,821.9689741535391,2088.4095932495306
KLT-40S,708.8497965474891,427.8314018718008,173.3601523105049,374.85285889470055,579.9867424103447,946.1561174256435,2477.1624675655908
CAREM,778.6308557215444,508.0270453381488,164.62765325097376,387.38388506558243,619.9729084306362,1047.4223502298196,2953.3549152824003
EM2,119.28690792829362,22.727393880890226,79.73184025382973,99.91068298762652,117.29824522638401,137.606719573239,180.37715526267442
HTR-PM,135.62805212707482,27.1681549057861,87.48370508168992,112.88390166829261,133.62168240864418,156.37375644719623,215.5705498613174
ARC-100,312.61462423267955,106.35840995762852,155.50002267388308,231.01024248514912,287.1302141004568,373.46868414934545,767.9285929090263
CEFR,761.7601538850839,443.69596018248166,249.01661677059042,412.50956049635045,616.1742620777309,1004.5592600179332,2568.9680011688747
4S,995.1721041071197,776.8653947448652,181.77469950436628,400.54344168581696,707.0059336846637,1383.756332671765,4395.433459846511
IMSR (300),250.30607029167106,82.35596756439725,111.29867152269921,187.47341578286196,236.92119252660515,298.4216520324052,554.12254102017
SSR-W,217.93065950838397,56.073406553100554,118.90447828058922,174.26342693730174,210.77993654856687,252.36901864570277,428.84503177160343
e-Vinci,1915.3394364483863,1660.2758932325219,244.27703790413366,671.8755727672026,1272.8940186120503,2669.73061114444,9913.041271180142
Brest-OD-300,179.3959453168083,40.79677210602519,106.47413047811996,148.54585356882984,173.28775729178085,203.77363401032096,333.7719381101704
Clinton-1,163.47429372982975,34.78988457659983,105.9077451836465,134.08078752991673,159.59976332426362,189.02242207319966,263.27908313621197
Hope Creek,173.55718283895533,38.02169792052905,111.98139179696547,141.01323930598085,168.95117295175805,201.1738658497049,285.24045590501845
Riverbend-1,153.42090915527174,31.8241336486698,101.20430082434699,126.39194085162778,150.09193173595366,177.19312608607547,246.42111963347583
Olkiluoto-3-wealer,135.35577715774062,29.760310844235242,87.30887249278533,109.91917230325939,132.011259161318,157.58469771139107,220.28803722544217
Olkiluoto-3-oecd,108.54784541126988,21.343751537635054,73.61420841518252,90.50683471962354,106.17549451125194,124.57174767660267,168.452602204381
Flamanville-3-wealer,151.9531417939709,34.56958474506444,94.99246546823267,122.35351309666693,148.51425086502286,177.90701116550505,249.97405490561331
Flamanville-3-oecd,143.05880728652966,32.11011916819719,91.37057222346272,115.63860111859009,139.0850445229967,167.53664571814468,234.65987935629713
Hinkley Point C-1,141.90476746515907,31.41383992870906,90.86172532084541,115.32118543992789,138.66701279339355,165.34095395441702,233.16146499327877
