variable,mean,std,min,q25,median,q75,max
BWRX-300,239.55107030041438,57.73602374103921,132.0470016455931,194.89948795508286,232.63722385772732,278.4317615455104,411.45989906363627
UK-SMR (RR),229.21811765950392,45.506926345059334,144.35401987076472,192.61968809290468,225.31639738593526,260.3652308331297,358.36071484533244
SMR-160,288.04398326998455,105.6611537486284,111.73813688721884,207.7048677373867,268.0955849621248,350.0970662411319,636.6929594016611
SMART,349.6985618194185,151.4228996132715,114.61154699057187,232.24506061629296,317.5293761949204,440.93226320385975,854.9315785686726
NuScale,437.38024494227494,199.2331123951056,139.28600728213522,281.7696081506101,392.32070894382844,557.5064362955418,1135.641858435743
RITM-200M,635.6278346585153,328.9353799051673,175.10159045046484,377.9266305796612,553.7275568859895,821.9205490404022,1838.30614804469
ACPR-50S,655.2242067574142,358.16454354492345,171.11518876421445,361.84386032596933,565.0113014037564,877.109167502964,1926.6083636902001
KLT-40S,750.7700878120849,429.44892447176994,183.92849141700114,398.79467023440856,637.5981977402433,1020.8314089060418,2254.5600286273966
CAREM,860.5280738439083,548.4597468961188,174.1046225589755,427.1978406355655,696.9548744486617,1169.457365928808,2830.9080443733264
EM2,123.56219748494716,22.399774781573715,83.95517506343249,103.98692838398568,122.72433251353229,142.4654946764901,172.1978475636614
HTR-PM,144.0584001479442,28.96575198055676,91.55198582168089,119.37266504677346,141.97538231396737,166.9715276555046,216.51052810447632
ARC-100,1283.2500882186785,564.9164021954649,429.63727006830976,843.6852217893988,1158.6430958495116,1610.1522282445605,3254.5123518203336
CEFR,3705.163438366521,2404.2175738309897,788.110179882534,1733.3076258126591,2974.5500778074775,5196.426972258016,12301.798930778354
4S,5606.072295489232,4258.2498474874255,827.3431110885579,2157.934680546473,4139.130035045699,8147.896642214796,20927.73297644569
IMSR (300),263.7206704156383,84.63835308198009,118.7735482625649,199.10002137594083,249.64560800618344,314.2577464429149,538.1254384843579
SSR-W,221.88078372055455,53.70768646378604,123.06760696012252,181.01118287106124,214.72054922757866,256.6177430527051,389.79537245316993
e-Vinci,2068.3233183966813,1718.265403033219,260.5651924649214,729.7957547572767,1450.0830029528092,2953.7822398563394,8951.6050657784
Brest-OD-300,765.4848968189197,212.4826483795834,381.1876994299428,604.0791080695706,735.3116411207824,898.9728650723885,1435.520977391898
