variable,mean,std,min,q25,median,q75,max
BWRX-300,219.95325112659438,52.16393211647626,124.74902125017904,179.80615900530287,213.59133067642426,253.5619949858061,376.92218318933186
UK-SMR (RR),213.85503536848017,41.2864920680467,137.6373466034943,180.74264758218004,209.6264487193012,242.5120226646965,331.4987363079048
SMR-160,262.2228118820223,95.69534746379728,102.58502893721679,189.74878174087524,244.5072876407748,320.60544793202104,570.081101979502
SMART,314.98378281335107,134.91288669043948,104.62894587771339,210.24733263191843,286.2794550139224,395.8903559000134,772.9327359102687
NuScale,395.7823654804988,178.8765245887774,129.83064736553823,256.72015433582027,354.4223522770337,503.58565691192325,1005.9282269546375
RITM-200M,571.9856472004114,294.3459306837878,160.87835503415465,342.165693853254,501.08930111743337,736.5231204480785,1645.2153667492228
ACPR-50S,589.682216022414,320.0106737338939,156.348940927125,327.9114566765923,508.2088523545608,786.6501256789908,1699.7818147668095
KLT-40S,676.7788309309906,389.29637623172295,169.41966034706138,362.7051214931845,570.3265086626524,910.5324343753913,2060.037484721771
CAREM,769.4758297463324,481.55733097685476,160.13279406270067,386.08936190161126,630.6674204442661,1042.4595386255519,2592.3517334035682
EM2,114.34383327521985,20.271136242973316,78.95388239322413,96.45432971693175,113.51330705309933,131.65336468361278,158.39930412490904
HTR-PM,133.82417580951514,26.16667981978005,86.14006519133291,111.76522184317719,131.9941524369822,154.3598937862683,198.7323603582473
ARC-100,1171.8270978139756,508.56396654057517,402.16826966777853,777.3109042441484,1058.9862350218573,1466.2090018875474,2910.6276705544096
CEFR,3368.450818451413,2140.6231443080824,719.4902530717806,1610.1234174143804,2742.090126570918,4682.682310115162,10941.53023644938
4S,5037.870075433744,3838.6957371709873,735.7984744936167,1931.1975080407456,3732.888857882752,7299.011440386672,19014.304125981278
IMSR (300),241.04942886683136,76.63450530355317,109.60344726772904,182.80269157034547,227.7974724880571,287.6519854771498,487.11179791275197
SSR-W,204.86164608035003,48.70521024713482,114.57387722481145,167.7556207038819,198.71763585792957,236.85740928866812,352.14102091661306
e-Vinci,1867.3097117671878,1542.8617374843652,232.82881001108402,665.0504857752571,1313.2894306014778,2647.639417911487,8071.455225469694
Brest-OD-300,696.2595522473487,192.54427290669193,341.8493717746132,550.4433954419488,667.9722647349313,815.7417562510457,1281.673668905209
Clinton-1,135.94321544774627,22.32707182577884,99.21361268330034,116.2617665372313,134.60734108550483,154.87581193677846,178.69685867972677
Hope Creek,144.26237850104752,24.534899150031258,104.85702387183534,122.78441293593318,142.74647385303547,164.7208708246946,191.6677428811856
Riverbend-1,128.37308216410997,20.881714046591522,94.51216651215773,109.78500365557497,127.14065639537907,146.0184780731512,167.66765367108073
Olkiluoto-3-wealer,114.90525335897672,19.616290029630683,82.26735489631017,97.79480703688989,114.19663419823672,131.66524703867015,151.33251546192335
Olkiluoto-3-oecd,93.41503472478148,14.141439310413597,70.00230327975262,81.0950843308794,92.80314696859239,105.47481329852434,119.52744124110095
Flamanville-3-wealer,123.40235506509589,21.37491005588919,88.38215125467306,104.73561816599054,122.51407941495384,141.58721548443998,163.1725656283148
Flamanville-3-oecd,117.33921780091552,19.932452521959288,84.8677360142545,99.49351963588029,116.37454705775001,134.43203656598476,154.1480817564139
Hinkley Point C-1,134.02401923807207,28.090658351768642,89.38937492091239,109.2644092273576,131.84407153707392,157.7371786797002,187.86032990405153
Hinkley Point C-2,133.6205093558023,27.814934630207667,89.28325308722471,108.95419865332929,131.29549710099587,156.88945823749495,187.81848194013452
Vogtle-3-wealer,154.69054942507418,32.21625980250335,103.11832297926551,126.60654730286868,152.06017906302026,182.1033544669594,216.14928442618265
Vogtle-4-wealer,154.4334342271077,32.00208287874213,103.19294685772495,125.87144970315667,152.47837996985874,181.71980414629962,215.9503180110288
