variable,mean,std,min,q25,median,q75,max
BWRX-300,207.5673772331728,48.07946869809977,118.35402670439049,170.33015899262222,201.34977086638457,239.2087499854604,354.3676244847097
UK-SMR (RR),203.03069187489874,38.002153611031034,132.64426542378325,172.6714063806802,199.06953199389977,228.81446966996273,312.0308549854741
SMR-160,243.44740259939823,88.27108108780885,98.68628435468474,176.74262788601075,226.42517283056569,296.3995662389127,531.3501898802945
SMART,295.79882023287064,125.99470765483021,97.09184368998397,197.3189645938507,269.7459698445065,371.6180859417913,721.7463548275601
NuScale,367.84715751464665,164.39518138516456,121.0555811538765,240.8465992309408,330.1228501791302,466.20563306563713,942.0025782261803
RITM-200M,530.8101811397677,272.3995138904866,153.47685928111346,317.53397597018414,462.95799268100865,683.4574943084849,1515.8175853156986
ACPR-50S,554.1363688039191,299.2007183419994,145.22359978519012,312.59622295888687,481.2895588765574,729.4348542398504,1598.975968695842
KLT-40S,632.6645584598133,356.855372643544,156.22332325075897,341.620531668136,540.7792969031437,850.689314852064,1892.7693388420892
CAREM,716.6141210141916,443.98663648026496,149.83095530596714,360.84042437663,594.8288488843261,979.5108165395488,2377.0775800031047
EM2,108.36417344140038,18.748683846803406,75.73166995566064,91.9184598318175,107.41986140005218,124.050150070451,148.45528174934475
HTR-PM,126.4005178748901,24.418962748452966,82.7419346591365,105.38862064166086,124.94404044780975,146.08465773154208,186.4008305007364
ARC-100,1097.1922859986905,472.54840171268586,371.77209773301126,731.153338921284,994.4613449283983,1380.7997752759163,2702.6187856938104
CEFR,3141.511648408323,2001.8800236924842,683.385534530372,1483.1589484294277,2554.2994831901724,4401.384723107039,10215.298423876158
4S,4612.242541424698,3521.5314272416126,696.2783814178749,1800.1621484833963,3410.0172195536416,6611.84841110477,17600.172927511212
IMSR (300),225.4625581146081,70.60049717399308,103.51424886190445,172.4153356853363,213.159329097058,268.0893078016335,453.70352376851895
SSR-W,193.42492720013541,45.84639605581056,109.7970924228811,158.26431999265952,187.70382568321043,222.63564066412414,330.2895150977756
e-Vinci,1756.654896704613,1452.943934826201,220.21081830705336,623.5348172932174,1235.273839348551,2508.095302680307,7473.4230035036335
Brest-OD-300,648.0530918935846,177.95682497142707,320.6407685254359,513.440931579494,624.2814203945273,757.7750041728136,1192.0916213093592
Clinton-1,135.95103816950615,22.64264806524335,99.46962155604484,115.97335417186298,134.6736764584836,155.41241000232253,178.5199017202628
Hope Creek,144.80287266066836,24.462697631897342,104.81803165504317,123.41867484312736,143.47904763071188,165.69950853358435,190.9331893627642
Riverbend-1,128.38163362607807,20.9093222334531,94.64202864446362,109.76719051244078,126.92824279554674,146.45186740818468,167.57473063719016
Olkiluoto-3-wealer,114.3149093666298,19.85176575184838,82.46435085810519,96.70232793329347,113.37514095766771,131.1768813290035,151.34041728298794
Olkiluoto-3-oecd,93.20412842665696,14.242522793047147,70.07720052920169,80.53721562099484,92.46134300832205,105.46347016402481,119.59321458830922
Flamanville-3-wealer,123.283819627364,21.24605796991017,88.3035992299731,104.70396844963572,122.0315090716726,141.3372158819776,162.81833698432254
Flamanville-3-oecd,117.49617466641112,19.720951801271422,84.80352076533825,100.12821494505346,116.55216391853163,134.39255030004085,153.8693270791244
Hinkley Point C-1,133.41838031427318,27.701444659314458,89.35738724651745,108.90487351771098,131.517644748877,156.3644384195767,187.06964467138212
Hinkley Point C-2,133.9607471772223,28.364802088880676,89.33283012643298,108.67878219807683,131.9237121671211,157.97128300846492,187.94428644439412
Vogtle-3-wealer,155.1638657263905,32.45792075476539,103.09071738068795,126.43929323898541,152.93557587087918,182.6994586080553,215.89332952924153
Vogtle-4-wealer,154.9709549668203,32.256827416600274,102.71082013070475,126.48308808215862,153.0909494263629,182.60459689716103,215.69654961400533
Vogtle-3-oecd,126.62769777499503,24.551295406765615,87.51408216818483,104.915068211826,124.9205281309596,147.4653821632741,173.27719780921117
