variable,mean,std,min,q25,median,q75,max
BWRX-300,207.88906232979664,48.17537800377082,118.918874399203,171.37810370274775,201.8458796582347,238.9352925807636,353.07102617090663
UK-SMR (RR),202.83799410537196,37.83751279238906,133.54626065810405,172.43690822809296,199.58256307119575,228.39005938361421,312.0333901985142
SMR-160,244.15438811167385,87.89036046078084,97.0725388743798,177.68795163319538,227.19637671704953,295.09863571374706,536.1944616175865
SMART,293.91092412458,123.81436200484526,97.69028596344943,199.53476752263035,268.48074029401783,366.7395570613957,717.8142756249193
NuScale,365.26497270754965,164.6391849898171,121.2465690263767,235.89342810558733,328.1748932249521,461.8126824465445,944.0472202399944
RITM-200M,537.0900668636024,274.2482912627377,151.6990263412717,320.94633568374684,472.5578379261245,691.2679132281156,1523.0912049088909
ACPR-50S,547.0660046655134,297.2706136309804,147.2687489159824,309.45011017526514,472.90931118501817,723.1509008916585,1598.8079342464894
KLT-40S,630.3602551713108,359.61456492104895,160.3566015998564,337.31006312367174,534.4820847227641,849.0882480298135,1900.5932458025743
CAREM,718.892606245972,449.5582225740551,148.40850425097238,362.88147035380905,591.2323595814706,964.9263170058816,2412.524299012458
EM2,108.41560928626625,18.79590931805671,75.69490107109061,92.08556171150377,107.39361412035558,124.4062465194722,148.85977441159906
HTR-PM,126.55677857519467,24.437418092667816,82.46225166756038,105.3466149683821,125.23946843876814,145.62950476609564,187.60733261025922
ARC-100,1098.8536900595698,476.5110907824306,379.2110344334389,728.7777430333748,992.7793035377665,1383.4956535750252,2682.185643291794
CEFR,3117.8081815055416,1981.9176082163426,673.5625855077809,1494.60236897717,2555.703273678113,4309.01457316175,10022.546722305606
4S,4629.091512120022,3494.795386837147,685.8200433161488,1806.2862896588158,3468.5588879050274,6614.188305442236,17377.875614362172
IMSR (300),225.20381921803747,69.89246576753276,104.36305617315378,172.76260515184362,213.1743193172525,268.2103041298394,452.83578640277665
SSR-W,192.3429547056651,45.17763169538797,110.45924978924359,157.53072639167814,186.19544362687176,221.87423442734053,331.1165408935534
e-Vinci,1749.8051411264448,1446.7385240855372,222.48798136900996,617.1880132637042,1225.8539714861051,2502.1428047350364,7545.9365677962305
Brest-OD-300,647.0573437963848,178.7841382324593,325.1217286185178,511.0689264695455,620.5410193358181,760.3391089964155,1200.7891743754833
Clinton-1,135.96125040019277,22.428436062990677,99.3334586875216,116.06407686230521,134.57708399302135,154.85192232935447,178.8559585255634
Hope Creek,144.72697833071896,24.51590293913082,104.48211593711794,123.19384403683728,143.29981916853387,165.1974751441909,191.0788747786975
Riverbend-1,128.63187846373538,20.844122223343987,94.55439474342789,110.26939028842474,127.40256362999752,146.5637403418138,167.6811929722493
Olkiluoto-3-wealer,114.74585644824928,19.75695360852249,82.37434674493757,97.2561170485093,113.7282823095556,131.78078192659768,151.3984293940464
Olkiluoto-3-oecd,93.27399532066248,14.168014422215954,70.02316266272652,80.84628581420725,92.6079922434857,105.47905537256642,119.72444285122855
Flamanville-3-wealer,123.43433651523762,21.332790970798555,88.29591559537639,104.66230011888388,122.64958094419735,141.62541002843253,163.07200515444052
Flamanville-3-oecd,117.35785551941197,19.783691014665305,84.83784083621546,100.04870820461707,116.33754725459899,134.2014528411247,154.05925568676193
Hinkley Point C-1,133.3592893699314,28.059880695631026,89.45114514963616,108.3866325301031,130.78987078172972,157.00938061981222,187.52892877466456
Hinkley Point C-2,133.81169140100133,27.97203949614635,89.4757974386828,109.36888504134595,131.7515788184795,157.14547180531994,187.59740878415988
Vogtle-3-wealer,154.34133899863446,32.3242037647922,103.0551529711177,125.73159031037306,152.42865977507466,181.4392734999636,216.1707206934858
Vogtle-4-wealer,155.21702750231543,32.174005576533474,103.20265576039832,126.707245228266,153.47117927846566,182.82361202397243,216.12806265039035
Vogtle-3-oecd,126.66896721089095,24.551755604433833,87.6285778588364,105.2946957124676,124.88556778639327,147.42807035923542,173.22036874680688
Vogtle-4-oecd,126.69250334705049,24.48299132355956,87.70014322860419,105.32970510196824,125.19238515703474,147.1502146005075,173.39283932199166
Shin Kori-3|Saeul-1,60.99904696416155,5.570921952534202,51.70770338482847,56.113059468504176,60.806069291359556,65.86399282093643,71.22119568024283
Shin Kori-4|Saeul-2,60.91744077730781,5.521650327339424,51.766182748884425,55.995803443558785,60.70699962198074,65.63843793686536,71.29242131661843
Sanmen-1,68.85351752651093,7.776099115116504,56.026796240011976,62.05845488019234,68.51839706352284,75.4506628002853,83.45610374660431
Sanmen-2,68.87215128760869,7.761165488671006,56.08004365362307,62.1588652768661,68.47082069712249,75.59678367472408,83.4083578826224
Taishan-1,68.21724887846277,7.397702187583973,56.01903875443092,61.745866897507504,67.88601225676408,74.48428151703807,82.05911486351654
Taishan-2,68.19249942829656,7.379633377648356,55.942425481595095,61.76510202203359,67.77618468689897,74.45970583352803,82.10953918784935
Novovoronezh II-1,60.97722854333207,5.930931208730551,51.27245968887755,55.73897897541511,60.68667834744842,65.95590884244055,72.20347591382038
Novovoronezh II-2,61.856811879351596,6.391144723570823,51.54316091071333,56.21600603129337,61.47026801241233,67.28900025553676,74.15097433129633
Fort St. Vrain-doe/eia,132.63828734533513,23.15134772891271,90.41223694912205,112.92437433913355,130.8747832168554,150.99949751130933,192.17266366069254
Fort St. Vrain,132.52488582655607,23.09433488057349,90.01410878229026,113.22509634702052,130.56221165756324,150.54937184097963,191.6303446322285
Peach Bottom-1,250.55802059453194,83.20527634043762,113.9821498994675,186.85211240300166,234.19243200544682,301.17391347392316,532.6401802431653
Beloyarsk-3,65.47869224129259,7.5962962439522395,53.27812537606779,58.76229458338821,64.93340247826349,71.80860857967089,80.31786267695699
Superphenix,406.17203939721605,109.23294160953127,238.4492150318808,308.2635255734352,395.72848057475215,497.9032151312964,618.5152686434184
