variable,mean,std,min,q25,median,q75,max
BWRX-300,229.81966164522237,53.99256269428088,129.86496815837742,188.57875213935324,223.62836484390624,264.7600679531572,392.4294265291997
UK SMR,222.79208778260093,40.195990946262015,147.12145066229246,190.4757374134341,219.71977184181551,250.4196957538097,335.9794285982499
SMR-160,271.39967130119044,96.84990890988476,106.82269364267381,198.0653465117668,252.63657939747424,329.4246339911435,594.0335221114167
SMART,327.52367546487625,138.19003652958455,109.6915333921728,220.34887823090622,299.44096820611765,409.8716621483894,808.693132908143
NuScale,415.7750251876306,186.53748362993073,136.03818643779115,269.71779317419873,375.7979310596937,524.5251489953702,1058.8096951400148
RITM 200M,507.27346916774735,260.97461453208416,143.92669981529122,297.260271616825,442.013287070327,661.9891098112936,1409.5768279239708
ACPR 50S,619.2927536649438,334.76372097633833,166.03821058561437,347.5374668648318,536.2422932419877,822.3206987462835,1809.7110612887254
KLT-40S,672.2880697918351,371.3659738193713,174.15582215115035,368.63183010951934,579.0220813884509,902.3998761785901,1980.6393966932662
CAREM,733.8057598742528,425.99872013590755,176.06812726781416,385.90937259869844,617.6861536352925,995.6188968477602,2245.223300529947
EM2,116.27272734979485,19.694210743867984,81.0346044699287,99.02168332411867,115.2321510777931,132.96778571058974,159.03840168336876
HTR-PM,135.38413275178388,21.611683941666463,95.1881079307038,116.99819194315083,134.24767408819133,152.15718085128452,190.79992436272596
PBMR-400,139.12219222487357,26.299347788242006,88.70425911204507,118.10755672980756,136.91858591066296,157.8486370199135,211.4709663189677
ARC-100,1211.781780490619,529.5163400487701,407.9097627130328,801.5626484527089,1095.9987189152832,1518.0266508684501,3044.5873216642226
CEFR,3480.4598383905977,2234.684419690777,748.7330427624619,1652.0932504843445,2837.9042167319703,4790.914108834295,11433.415077094745
4S,5189.894995460391,3920.1373997065516,770.4277750407091,2050.158678958329,3890.048002714855,7432.670952158642,19792.374549010783
