variable,mean,std,min,q25,median,q75,max
BWRX-300,2.7804013373863883e6,1.2842359117690255e6,777839.2054367014,1.703339271602344e6,2.51184947753175e6,3.7121151379116424e6,6.132285046473761e6
UK-SMR (RR),-3.7848264338946748e6,193161.5070278642,-4.209842344924306e6,-3.935755692401949e6,-3.800879078832684e6,-3.647871640940353e6,-3.2693245204321453e6
SMR-160,635492.5799365906,1.2953868709166006e6,-1.1478406779192036e6,-457372.49866993673,300553.6615932915,1.5654369186521498e6,4.098346998394438e6
SMART,903822.8553694427,1.4827593598927236e6,-1.206760731163415e6,-359201.72631751996,548286.5224741967,1.984689413139698e6,4.892520356531391e6
NuScale,1.9398002927179658e6,1.1057932033330512e6,251273.38099675733,1.0070969782382845e6,1.7111276065895255e6,2.72808362960901e6,4.881397977699992e6
RITM-200M,1.7098482248857326e6,964672.3644957062,145772.77602023067,892927.0663751309,1.526510846056601e6,2.4523458043013862e6,4.1647331793815717e6
ACPR-50S,187408.67420359977,983078.7845960035,-1.2896587609075718e6,-661841.3563894415,-13930.292773961719,965874.4449635608,2.6296404474425567e6
KLT-40S,-2.0581703287605434e6,831407.2972630641,-3.2382226736597186e6,-2.7841005495653977e6,-2.221051350683716e6,-1.433979618596564e6,44428.392743938384
CAREM,-5.144234254823636e6,1.0248002577401442e6,-6.7184405199263e6,-6.000244187283568e6,-5.418280903068269e6,-4.404054783976276e6,-2.523034456303732e6
EM2,720161.154459848,1.0088992737487765e6,-745770.5147915041,-141571.0615558357,497452.5183597022,1.4558809380899505e6,3.3738535131424097e6
HTR-PM,1.2692064592577892e6,960395.6138281992,-154093.50623811828,456126.96382378816,1.0495033432024543e6,1.9819229031767747e6,3.805592079109716e6
ARC-100,-4.778171183695759e6,760761.6643596991,-6.744195335530885e6,-5.341630255361741e6,-4.669567857476908e6,-4.16602824112765e6,-3.3705869434412313e6
CEFR,-1.2002743234445294e7,1.446026547373654e6,-1.553321529964966e7,-1.3120386930685645e7,-1.1898826156394035e7,-1.0866734298274692e7,-8.95786638320107e6
4S,107452.58807005294,523090.17012290127,-723623.0990261666,-343889.8410547165,22725.529436091885,516950.3003789257,1.4091915247538588e6
IMSR (300),1.1379430301315258e6,1.0479109588686203e6,-404136.7011123134,245638.56891136552,905379.9963239029,1.9215473856554837e6,3.8922124998824787e6
SSR-W,1.0138604387378197e6,680205.2894362961,-4668.975712749548,436888.0122762574,859987.3280143272,1.5179321815091376e6,2.804595162931451e6
e-Vinci,609106.8086003689,661617.5092329048,-345727.2457079162,46201.34938851702,455047.09824383515,1.0805209477507004e6,2.337697588258882e6
Brest-OD-300,-780080.697269587,399206.5811492716,-1.3504909707385486e6,-1.13483613806972e6,-847356.2537824162,-466871.83158788516,203353.37729457428
Clinton-1,-5.296211905729848e6,421059.94640932925,-6.276223435765545e6,-5.583542592365591e6,-5.301422567778263e6,-5.03518290212413e6,-4.308891759224988e6
Hope Creek,-5.992921572317279e6,410150.7710527281,-7.011289874395989e6,-6.281881943995549e6,-5.975602197255299e6,-5.72991241077884e6,-5.048142547363846e6
Riverbend-1,-4.698492106151467e6,429521.00897781295,-5.640911464176861e6,-5.001446947042276e6,-4.756569728676665e6,-4.430204612457879e6,-3.6438553828782267e6
Olkiluoto-3-wealer,-3.745155528087176e6,601307.99387168,-4.781785000596099e6,-4.192764118645494e6,-3.9092922070980268e6,-3.3613905383092184e6,-2.0421200841018416e6
Olkiluoto-3-oecd,-1.960062830365969e6,691231.1336526049,-2.915261385222174e6,-2.5365391023680177e6,-2.1736121530398177e6,-1.488328652122932e6,53687.25037303618
Flamanville-3-wealer,-4.754834908476579e6,566110.5449616996,-5.856466686552368e6,-5.159136810992739e6,-4.877282807948228e6,-4.406578605285657e6,-3.2105770259576095e6
Flamanville-3-oecd,-4.242164965474339e6,587458.5930538304,-5.316635527040843e6,-4.659572491781971e6,-4.398873393054007e6,-3.8698328107142365e6,-2.590651200046488e6
Hinkley Point C-1,-4.190487337785926e6,586928.1739515509,-5.256831941130696e6,-4.610048322770922e6,-4.349300752135096e6,-3.817829184475063e6,-2.5801291729471902e6
Hinkley Point C-2,-4.1837701769381827e6,583541.6002478229,-5.254775612200421e6,-4.603297980666129e6,-4.340594029567251e6,-3.819106183262497e6,-2.562501359050962e6
Vogtle-3-wealer,-6.387241990625845e6,528707.4921313868,-7.5815033581456505e6,-6.747246584851749e6,-6.403807154857856e6,-6.079708451848426e6,-5.135737262972406e6
Vogtle-4-wealer,-6.380737001788196e6,526812.3647800592,-7.567457181875188e6,-6.743794641968264e6,-6.375618821002463e6,-6.068989638698738e6,-5.125653071760004e6
Vogtle-3-oecd,-4.2293663308700025e6,585282.904833977,-5.289094249061628e6,-4.645407449932547e6,-4.3836548694917895e6,-3.8510138101123036e6,-2.578567694695147e6
Vogtle-4-oecd,-4.223578950679692e6,587639.3283857221,-5.301022687504046e6,-4.641729329071835e6,-4.385072472497e6,-3.8466127542242333e6,-2.62235679216892e6
Shin Kori-3|Saeul-1,676181.6892437137,848042.8721048867,-540329.4135297888,-35381.89728970222,483170.7921971063,1.2628813290212129e6,3.1344407648017593e6
Shin Kori-4|Saeul-2,672628.3723165978,848021.9372897535,-542351.7330344885,-40884.54572798432,479822.98593708634,1.2770732564677303e6,3.0923616206744243e6
Sanmen-1,84055.47367991369,807903.6220764274,-1.009528099777854e6,-601758.3123090472,-120080.9454970594,640514.6731385245,2.427465785499593e6
Sanmen-2,70782.20502205993,807841.0914802637,-1.0087470312210473e6,-611439.6339327015,-143061.08659405416,637187.3569043541,2.4288561632803394e6
