variable,mean,std,min,q25,median,q75,max
BWRX-300,-1.1192347272556411e7,2.9668382738962607e6,-1.8800695301310714e7,-1.3472733623834748e7,-1.0874109856679771e7,-8.780283869553637e6,-4.843044627894741e6
UK-SMR (RR),-1.2267652279913714e7,1.9093830524542448e6,-1.7094457788273428e7,-1.3721349422373306e7,-1.2067811055994201e7,-1.0670602684608974e7,-8.366940238215191e6
SMR-160,-1.7010577140875276e7,6.668570225038912e6,-3.3958910413220145e7,-2.203017852681123e7,-1.5810820487851465e7,-1.1307386456194561e7,-5.535193363130134e6
SMART,-2.163108203680681e7,1.0156680624254458e7,-4.742261300230997e7,-2.9230867401921853e7,-1.9330959942307584e7,-1.2903406825551707e7,-5.586385651184388e6
NuScale,-2.8439867540385492e7,1.3676845163682796e7,-6.402221614475284e7,-3.833460913966662e7,-2.517449186598874e7,-1.6744416922288578e7,-9.412345275663875e6
RITM-200M,-3.5773996719350696e7,1.905506977852321e7,-8.564484786125596e7,-4.93872483144739e7,-3.0633774545661975e7,-1.9424900766256697e7,-1.105284203623041e7
ACPR-50S,-4.294632645850195e7,2.4622297875180434e7,-1.1089293853224888e8,-5.969209814918384e7,-3.604161162667529e7,-2.20736659306437e7,-1.216151653670833e7
KLT-40S,-4.985321567715222e7,3.0306770365923002e7,-1.3385932878135201e8,-6.968243235171598e7,-4.069911201338784e7,-2.418372601495662e7,-1.3556504095062964e7
CAREM,-5.792365307316233e7,3.7888633719805256e7,-1.6385965741046384e8,-8.232684780501166e7,-4.534396020012933e7,-2.6336550431295045e7,-1.35381757014563e7
EM2,-3.5387249819214493e6,897732.5181030475,-5.255215265453905e6,-4.2441923163036555e6,-3.7430856195116052e6,-2.922489009580088e6,-911255.0499267902
HTR-PM,-4.88785222636253e6,1.006744172873396e6,-7.320264071740812e6,-5.629062561410466e6,-4.92358062295029e6,-4.242337719013352e6,-1.942482275098662e6
ARC-100,-1.9797760295767352e7,7.272726971434613e6,-4.113211986488352e7,-2.4924734817297973e7,-1.8024120881868124e7,-1.3677667966406278e7,-8.65665892443004e6
CEFR,-5.017919939708964e7,2.9863179392505247e7,-1.3921769290519074e8,-6.851347356329827e7,-4.069197830486223e7,-2.538738162340019e7,-1.3825457242539074e7
4S,-6.757602876716709e7,5.353005968658115e7,-2.293313274917434e8,-9.797371605585791e7,-4.762795676216117e7,-2.4379845638942245e7,-1.217688083506456e7
IMSR (300),-1.4256303199380172e7,4.739021887335981e6,-2.6312721650714405e7,-1.7911582682218812e7,-1.3349346600219391e7,-1.020411904443458e7,-5.971383682591516e6
SSR-W,-1.186711645553325e7,2.782091543493696e6,-1.8819417795635745e7,-1.4132921202159382e7,-1.1444366285561528e7,-9.481606106973201e6,-6.889531917521938e6
