variable,mean,std,min,q25,median,q75,max
BWRX-300,-1.2692624982739745e7,2.774896894510365e6,-1.859763817688484e7,-1.49741105912719e7,-1.2475044603701571e7,-1.0294950447292617e7,-6.822227467309257e6
UK-SMR (RR),-1.1537092606375515e7,1.7221757969636167e6,-1.58891209291495e7,-1.2941995308218135e7,-1.1418297943692997e7,-1.0059096041031582e7,-8.226848807257984e6
SMR-160,-1.6139851357361577e7,6.547368660855974e6,-3.053345071031797e7,-2.1312794468076706e7,-1.526336427725768e7,-1.0539043538733393e7,-3.737160100310061e6
SMART,-2.059891800731701e7,9.849979932871789e6,-4.2446170822992206e7,-2.8365597564154513e7,-1.883804413902614e7,-1.2072477464552809e7,-3.4649494997075708e6
NuScale,-2.792527684076731e7,1.3508489795746649e7,-5.7759836586241774e7,-3.834921958161604e7,-2.5066550728308633e7,-1.609063732741815e7,-7.425415343750822e6
RITM-200M,-3.1434623173385303e7,1.6290660183861135e7,-7.096397924054089e7,-4.375156332257898e7,-2.77136521154636e7,-1.7258375847995125e7,-9.241540505103042e6
ACPR-50S,-4.310774228550309e7,2.4413182282627158e7,-1.0054656824222621e8,-6.093963759621869e7,-3.712037022770535e7,-2.1945417693674788e7,-1.0459030971139498e7
KLT-40S,-5.046002567446901e7,3.0180590832833607e7,-1.2168116708739263e8,-7.210352709242034e7,-4.2506399019416094e7,-2.4430315670359757e7,-1.136174425904725e7
CAREM,-5.7299885939195715e7,3.587574152766888e7,-1.4505275682406905e8,-8.30542864651692e7,-4.732672177509837e7,-2.6526420787916753e7,-1.1009454736086013e7
EM2,-2.807809660686091e6,1.0033013681347171e6,-4.688266741563206e6,-3.6140139783156724e6,-3.0250337839430235e6,-2.0888757786296427e6,317675.41366687
HTR-PM,-4.147336115666728e6,1.0044253393598305e6,-6.286045081104337e6,-4.894469132488393e6,-4.239122413783261e6,-3.4875866401339467e6,-730406.1908620213
ARC-100,-9.760337634621021e7,3.746067920140626e7,-1.8439887293420136e8,-1.2600583937948942e8,-9.06103931082475e7,-6.461698227907822e7,-4.4340471061614215e7
CEFR,-2.5731868281320047e8,1.5840563285579148e8,-6.599221949808364e8,-3.652349476890553e8,-2.1302103938408726e8,-1.2119191385819705e8,-6.77932368171612e7
4S,-3.850024853213919e8,2.828998296394154e8,-1.1307046310971165e9,-5.59679738938567e8,-2.905702845727812e8,-1.4798841683895814e8,-7.423783570276995e7
IMSR (300),-1.333103689668969e7,4.467455714715736e6,-2.2905744214941353e7,-1.697869482839596e7,-1.2789696395455593e7,-9.501749926071927e6,-4.1325809182840954e6
SSR-W,-1.127885325103464e7,2.694449425828801e6,-1.7077049232471358e7,-1.3485712514225785e7,-1.1015650180862166e7,-9.015148644344948e6,-5.526357529704053e6
e-Vinci,-1.6126675392274067e8,1.2743575378163132e8,-5.101170958734978e8,-2.4052211082833114e8,-1.1753079086970016e8,-5.463136644304166e7,-2.379485738099204e7
Brest-OD-300,-4.851431238794589e7,1.1382871517368728e7,-7.215864100634137e7,-5.7972144061316796e7,-4.736758294775748e7,-3.8495580055637285e7,-3.0580921123916484e7
Clinton-1,-4.728057218909024e6,609122.9093802393,-5.892151578460833e6,-5.222599392941062e6,-4.857566845101764e6,-4.303962882048754e6,-2.5250115747361504e6
Hope Creek,-5.424035661645218e6,592086.4190288896,-6.596176895138252e6,-5.902563717537813e6,-5.561796015713582e6,-5.008353973125995e6,-3.3978887021930492e6
Riverbend-1,-4.1317242061769697e6,622246.3963405503,-5.428938723186469e6,-4.639758062641711e6,-4.263677215830943e6,-3.6850497297040606e6,-2.0936711182342689e6
Olkiluoto-3-wealer,-3.1421486732801525e6,808849.7347508408,-4.526419093145339e6,-3.8138606766225547e6,-3.34083557282635e6,-2.573229047635041e6,-470507.3404774658
Olkiluoto-3-oecd,-1.3676658808219745e6,856044.1859863914,-2.833896707894537e6,-2.0804294401233608e6,-1.566015200838257e6,-756524.2120613515,1.2978888944809656e6
Flamanville-3-wealer,-4.1908979708524277e6,833184.9714784763,-5.622978097909104e6,-4.877131665192593e6,-4.378499541878404e6,-3.6211449546344485e6,-1.5221830967946977e6
Flamanville-3-oecd,-3.6600603329265257e6,851830.1071530851,-5.276081494466498e6,-4.363018724727827e6,-3.862232311868904e6,-3.0620935239273766e6,-855843.8266330294
Hinkley Point C-1,-3.501821749382112e6,605887.7217356262,-4.467696582881502e6,-3.985132650446263e6,-3.6927198173445063e6,-3.126935466629825e6,-1.3896286971580745e6
Hinkley Point C-2,-3.500916774130575e6,604279.0932248315,-4.408955325589111e6,-3.989462999773655e6,-3.6958305711105363e6,-3.0978946444179835e6,-1.4821494642095806e6
Vogtle-3-wealer,-5.622564156632962e6,609606.7413387619,-6.593361821974967e6,-6.098758353061684e6,-5.815377121838723e6,-5.240634685606904e6,-3.388310654370835e6
Vogtle-4-wealer,-5.619298615418544e6,615008.9771146375,-6.584965302326427e6,-6.104398874764775e6,-5.812072289337262e6,-5.222947025963398e6,-3.463632225968564e6
Vogtle-3-oecd,-3.588051820019574e6,690739.3251429495,-4.752901344742796e6,-4.152105794083822e6,-3.777400300891309e6,-3.124526948126868e6,-1.3028146709309237e6
Vogtle-4-oecd,-3.5837784277806166e6,689120.6257707238,-4.756444393058713e6,-4.147887760910618e6,-3.7748075675536543e6,-3.1240309296286893e6,-1.3410598709508777e6
Shin Kori-3|Saeul-1,1.4038546271733474e6,959476.9501978665,-372311.7531420898,602902.9865351178,1.1947424763526074e6,2.106467948653188e6,4.195136710235479e6
Shin Kori-4|Saeul-2,1.418374549965831e6,963606.9502608592,-281446.0117476804,603991.9992331594,1.22544227182238e6,2.1177052117907517e6,4.310898504575972e6
Sanmen-1,686193.6156115086,916722.4337993278,-947235.5269180876,-81240.38472801613,485965.52475542086,1.3626015911481136e6,3.5152964893679563e6
Sanmen-2,682714.7140659974,929506.8008968399,-881053.6989601006,-108149.85236120198,465058.1811886592,1.352682519339508e6,3.4419438567917836e6
Taishan-1,755226.878198529,947488.0268908956,-996325.025222452,-34290.830613385195,552170.0931190779,1.445615841575742e6,3.765226895835586e6
